id,species,caste,ID_number,date_of_collection,investigator,collection_site,Region,Latitude,Longitude,Forage_Plant,Temperature ,Wind,r.H.,H.I.,Time_of_Day,date_of_dissection,date_of_DNA_extraction,Concentration,Purity,QPCR_Concentration,QPCR_Purity,DNA_Storage,QPCR_Order,Year,CBombiConc,site_collapsed,site_collapsed_10k,Positive,clade,days_Since_May1,faithpd,PC1,PC2,Gammaproteobacteria,Alphaproteobacteria,Firmicutes,Bifidobacterium,Bombiscardovia,Apibacter,Lactobacillus,Snodgrassella,Schmidhempelia,Gilliamella,core,Proteobacteria,site_trip,Month,site_year,date_no_year,batch_conc
B0170,ruf,W,170,8/30/17,FJ,Allen Island,Allen Island,43.8755,-69.3113,,,,,,,2017-19-10,10/20/17,63.69,,63.69,,2017_3,168.0,2017,5018.934026730801,Allen_Island,Allen_Island,1.0,short,121,1.5949946856327966,-0.0279142231876337,0.0010396891210261,0.983115149146802,0.0003093656376188,0.0001139768138595,0.0050638270157613,0.0111534453562589,0.0,3.2564803959880164e-05,0.8812035951543572,0.0002768008336589,0.091018627067865,0.9887488602318614,0.9834245147844208,Allen_Island8/30/17,August,Allen_Island2017,8/30/23,1080915.9895912409
1,imp,Q,DRA180509-005,5/9/18,TM,Eustis Parking Lot; Colby College ,Kennebec,44.563,-69.661,,,,,,,8/6/18,10/18/18,149.2,2.07,149.2,2.07,2018_1,76.0,2018,1.0477594420682566,Colby_College,Colby_College,0.0,short,8,2.7251207048497825,-0.1172110454509351,0.0034309346070515,0.9919357434890383,0.0,0.0072916331326658,0.0,0.0,0.0,0.0072916331326658,0.0004185043299101,0.9906480378585456,0.0006277564948652,0.9989859318159868,0.9919357434890383,Colby_College5/9/18,May,Colby_College2018,5/9/23,2198608.445688641
100,tern,W,TWM180719-004,7/19/18,TM,Asticou,MDI,44.2995,-68.2795,,70.0,2.0,,,14:13,7/25/18,10/23/18,17.9,1.89,37.5,1.93,2018_2,135.0,2018,2315.0719246855765,MDI_Northeast_Harbor,MDI_Northeast_Harbor,1.0,short,79,2.7687181210742486,-0.0668803995224538,-0.0004107527148392,0.9883960383094172,0.0,0.0,0.0053607034288889,0.0055895139410976,0.0,0.0,0.6390677605988297,0.1123623051024744,0.2366881312718596,0.9990684143431504,0.9883960383094172,MDI_Northeast_Harbor7/19/18,July,MDI_Northeast_Harbor2018,7/19/23,578586.0833115001
101,fer,M,TWM180711-010,7/11/18,TM,Little Pembroke Brook,Washington,44.911,-67.8002,,75.0,0.0,,,13:52,7/25/18,10/30/18,32.6,2.03,32.6,2.03,2018_2,147.0,2018,4.6640391026292045,Little Pembroke Brook,Pickerel_Lake,0.0,long,71,3.8578361446724183,0.2354100058320055,-0.266038737372927,0.0906562847608453,0.907007786429366,0.0,0.0,0.0,0.0,0.0,0.0017797552836484,0.0013348164627363,0.0018909899888765,0.0050055617352614,0.9976640711902114,Little Pembroke Brook7/11/18,July,Little Pembroke Brook2018,7/11/23,199953.9423125844
102,fer,M,TWM180724-024,7/24/18,TM,Allen Island,Allen Island,43.8755,-69.3113,,,,,,,7/30/18,11/6/18,35.0,1.82,35.0,1.82,2018_2,159.0,2018,2.370455508553828,Allen_Island,Allen_Island,0.0,long,84,3.5055356951810563,-0.0442737102919699,-0.0119724891045734,0.9637519816177126,0.0335049250993035,0.0025649703425304,0.0,0.0,0.0,8.90614702267505e-05,0.5213480344133521,0.0002137475285442,0.0003028089987709,0.5219536524108941,0.9972569067170162,Allen_Island7/24/18,July,Allen_Island2018,7/24/23,7333417.53867123
106,vag,M,TWM180724-020,7/24/18,TM,Allen Island,Allen Island,43.8755,-69.3113,,,,,,,7/30/18,10/20/18,17.6,1.76,33.6,1.56,2018_2,110.0,2018,7.3526812912540604,Allen_Island,Allen_Island,0.0,short,84,3.6356361187439847,0.0012730351821009,-0.0886484429093709,0.7416658683781971,0.2400134112462879,0.0005508190439697,4.789730817128078e-05,0.0172909282498323,0.0,0.0,0.0129562218603314,0.0,0.611145703611457,0.641440751029792,0.9816792796244852,Allen_Island7/24/18,July,Allen_Island2018,7/24/23,2263638.187685224
107,tern,W,MY180719-007,7/19/18,TM,Manset Union Church,MDI,44.2662,-68.3096,,75.0,0.0,,,15:05,8/6/18,10/23/18,10.4,2.49,27.2,1.95,2018_2,125.0,2018,11.63107767109556,MDI_Southwest_Harbor,MDI_Southwest_Harbor,0.0,short,79,3.440470080351292,-0.0977410618144506,-0.0223051984104161,0.8790124569188836,0.057351384227243,0.0,0.0,0.0157231996035411,0.0476876985110265,0.0,0.0132228053972473,0.1171806365868492,0.7470772419075079,0.940891582006172,0.9363638411461268,MDI_Southwest_Harbor7/19/18,July,MDI_Southwest_Harbor2018,7/19/23,27495115.584422342
108,terri,M,TWM180724-002,7/24/18,TM,Allen Island,Allen Island,43.8755,-69.3113,,,,,,,7/25/18,10/23/18,19.7,1.84,55.2,1.96,2018_2,136.0,2018,3.042013452929306,Allen_Island,Allen_Island,0.0,short,84,1.5750180754682732,-0.0935111998889075,0.0005331112505026,0.9722078171516374,0.0035916642658215,0.0030922884855469,0.020839335446077,0.0,0.0,0.0,0.3451839047344665,0.2297896859694612,0.3862287525208873,0.982041678670892,0.975799481417459,Allen_Island7/24/18,July,Allen_Island2018,7/24/23,578586.0833115001
109,bim,W,TWM180711-006,7/11/18,TM,Love Lake Road,Washington,45.0037,-67.5528,,70.0,,,,13:14,7/25/18,10/30/18,47.7,1.89,47.7,1.89,2018_2,148.0,2018,6762.097150208737,Love Lake Road,Crawford_ME,1.0,short,71,3.700809211877365,-0.0068238128368936,-0.0160128201038528,0.9123791494827936,0.0378608613345953,0.0098708674193766,0.0,0.0390778175917787,0.0,0.0003380434047731,0.903251977553918,0.0007436954905009,0.0007436954905009,0.944155229531472,0.950240010817389,Love Lake Road7/11/18,July,Love Lake Road2018,7/11/23,199953.9423125844
11,per,W,TWM180814-015,8/14/18,TM,Allen Island; Garden,Allen Island,43.8755,-69.3113,,,,,,,8/16/18,9/25/18,51.4,1.83,51.4,1.83,2018_1,57.0,2018,89592.45280660674,Allen_Island,Allen_Island,1.0,short,105,3.7795359420094816,0.1974122491627073,0.1694863883420453,0.811055859439748,0.0045582628874523,0.1316592076910326,0.0514835073760981,0.0002486325211337,0.0,3.315100281783524e-05,0.0022542681916127,0.0001657550140891,0.0002486325211337,0.0544339466268854,0.8156141223272003,Allen_Island8/14/18,August,Allen_Island2018,8/14/23,6807734.334169211
