Feature ID	Domain	Phylum	Class	Order	Family	Genus	Species
050a3f82f85a3ea8c3839cf4d171e12d	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia	Kosakonia cowanii
055821dc99f9359e129450b7f05bb4b2	Bacteria	Bdellovibrionota	UBA2361	UBA2361	RFPC01	RFPC01	
05733e6c4a4926c327be4ccbb1cb00bb	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae		
0574279c529aa75aac4ec113f1a842ec	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	
05873199e5c2a35119c2da86e691b1f5	Bacteria	Desulfobacterota	Deltaproteobacteria	Desulfobacterales	Desulfocapsaceae	Desulfotalea	Desulfotalea_arctica
0593120f254e8b4c8b2dc98fbeb9ca97	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
05b92501a6ff89a5e23088cc2875a7ab	Bacteria						
05c6580296d8e28fd4189577089d59d1	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Acidiluteibacter	Acidiluteibacter_ferrifornacis
05c84034aa8045f4dcb46eba955ec7bd	Bacteria	Pseudomonadota	Gammaproteobacteria	Orbales	Orbaceae	Gilliamella	
05cea10d44f5f6e664688c7135a3a66c	Bacteria	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	Sediminihaliea	Sediminihaliea_albiluteola
05e3ebf6fe9f31e5d93ebdf0caecffec	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae		
05f9c0ac912455ef53be6b99ef2747a6	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Chloroplast_Chloroplast
05fa55533e6f4bddcbde5f5b6ca08e4e	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	Chloroplast	Chloroplast	Chloroplast_Chloroplast
061617a0e71a48b6aa179d1bbfa42d03	Bacteria	Pseudomonadota	Gammaproteobacteria	Orbales	Orbaceae	Gilliamella	Gilliamella_sbxid0097
0622bafa1733fc0e609c079b4449222b	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella_massiliensis
063a7f8fc8f893984e860f687a24f545	Bacteria	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Marinicella	
065e187a6fa57d1800cf3e17297924a1	Bacteria	Bacillota	Bacilli	Bacillales			
06691cea2bb37e76f40932e9d599ef99	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_H nordii
06751ab80f7de8e9506052a36b3f5a3f	Bacteria						
06755014b1640a514faea107438f6530	Bacteria	Bacteroidota	Cytophagia	Cytophagales			
068e9e6eabb0ea9daead63f2619f6a25	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	
069254b193bbfa931d8a42560fd84f5e	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
0696f7a05a89b78d3ca2b6b490a403ac	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		
069cd5dadc8413036c4e669673d7f6e2	Bacteria	Bdellovibrionota	Oligoflexia	Bacteriovoracales	Halobacteriovoraceae	Halobacteriovorax	Halobacteriovorax_vibrionivorans
06a2774ac935270e483b0e61f024cdcb	Bacteria	Bacteroidota	Cytophagia	Cytophagales	Hymenobacteraceae	Adhaeribacter	
06a68fca8ebb64bddf38bd0bda815e49	Bacteria	Ignavibacteriota	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	Melioribacter	Melioribacter_roseus
06dfc2708e5166d61c32c92557323bf8	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_L_486704 molluscorum
06eab5f4f887be4482f12911dc491ab5	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae		
06ff29d205429610aac9185f408650c4	Bacteria	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae		
070062a69b247049edb4a4c4ce361c3c	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Apibacter	Apibacter_mensalis
070232e976ca4e035b1548905c394c40	Bacteria	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminococcus	Ruminococcus_callidus
0718a11bed8e48ec9b72cc8234c4f68a	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Kordiimonadaceae	Kordiimonas	Kordiimonas sp002401685
07379ec087ed52e6f482f63a080edf57	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae		
073da1fd5035175e5ca4e59321f751be	Bacteria	Pseudomonadota	Gammaproteobacteria				
074b7721c727bf7c3d28d16307be576e	Bacteria	Bacteroidota	Bacteroidia	Marinilabiliales			
075dc0cd72b37b2fb6c0c06840c481ae	Bacteria	Bacillota	Clostridia	TANB77	CAG-508	UMGS1994	UMGS1994 sp900553945
0772f23d9d4d24ff6ce1280075034410	Bacteria	Pseudomonadota	Alphaproteobacteria	Maricaulales	Robiginitomaculaceae		
07984bcd315bca7d2cf388a3794d53bf	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amaricoccus	
