	species	caste	ID_number	date_of_collection	investigator	collection_site	Region	Latitude	Longitude	Forage_Plant	Temperature 	Wind	r.H.	H.I.	Time_of_Day	date_of_dissection	date_of_DNA_extraction	Concentration	Purity	QPCR_Concentration	QPCR_Purity	DNA_Storage	QPCR_Order	Year	CBombiConc	site_collapsed	site_collapsed_10k	Positive	days_Since_May1	faithpd	PC1	PC2	site_trip	Gammaproteobacteria	Alphaproteobacteria	Betaproteobacteria	Bifidobacterium	Bombiscardovia	Lactobacillus	Apibacter	Snodgrassella	Gilliamella	Schmidhempelia	core	Pseudomonadota	date_no_year	Month	site_year	trip_int
B0032	bim	W	32	7/23/17	FJ	Colby Heights Steps	Kennebec	44.5616	-69.664							2017-31-07	8/3/17	33.0		33.0		2017_1	32.0	2017	0.0	Colby_College	Colby_College	0.0	83	3.087432195549596	-0.08019409272515503	-0.05115149649882095	Colby Heights Steps7/23/17	0.676173567760533	5.727048851726705e-05	0.1997212836225493	0.0026917129603115514	0.0	0.030926063799324208	0.07830784796594314	0.19958765248267568	0.6749327071759922	0.0	0.9864459843842468	0.8759521218715994	7/23/23	July	Colby_College2017	5
B0033	bor	W	33	6/17/17	FJ	Jackson	Waldo	44.5507	-69.1209							2017-31-07	8/3/17	105.0		105.0		2017_1	33.0	2017	0.0	Brooks_ME	Brooks_ME	0.0	47	2.615697494822483	-0.031087997307579683	0.11002289744413309	Jackson6/17/17	0.3263010424821789	0.0	0.6369442498660843	0.002389880093947011	0.007128435452635049	0.014215666076064115	0.006098314722485476	0.6367382257200543	0.32543574106885326	0.0006592772672957271	0.992665540401335	0.9632452923482633	6/17/23	June	Brooks_ME2017	6
B0034	bor	W	34	6/17/17	FJ	Brooks	Waldo	44.5507	-69.1209							2017-31-07	8/3/17	105.0		105.0		2017_1	34.0	2017	0.0	Brooks_ME	Brooks_ME	0.0	47	2.209806008033402	-0.06663699909293706	0.004787134441903001	Brooks6/17/17	0.6200276364919296	0.0	0.3311674947814071	0.0009702172698674036	0.0	0.0003822068032810984	0.020227560050568902	0.3311674947814071	0.6191750213153794	0.00017640313997589158	0.9720989033604798	0.9511951312733367	6/17/23	June	Brooks_ME2017	7
B0035	bor	W	35	6/17/17	FJ	Waldo	Waldo	44.6135	-69.1243							2017-31-07	8/3/17	32.0		32.0		2017_1	35.0	2017	0.0	Waldo	Brooks_ME	0.0	47	1.865216921814503	0.022135886699295587	0.209451509094441	Waldo6/17/17	0.0012192498027684142	0.00025102201821702646	0.9954457433837768	0.0	0.0	0.0007172057663343614	0.0	0.9935810083913075	0.0008606469196012336	0.0	0.995158861077243	0.9969160152047623	6/17/23	June	Waldo2017	8
B0036	bor	Q	36	7/3/17	FJ	344 N Palermo Rd; Palermo; ME	Waldo	44.4252	-69.4381							2017-31-07	8/3/17	213.0		213.0		2017_1	36.0	2017	0.0	Palermo_ME	Palermo_ME	0.0	63	2.353729617515763	-0.05274525641832118	0.023194002714977135	344 N Palermo Rd; Palermo; ME7/3/17	0.5632183908045977	0.0	0.37383473617521945	0.008552810209068694	0.0008145533532446375	0.026880260657073038	0.0024436600597339125	0.37383473617521945	0.562675355235768	0.0003167707484840257	0.9755181464385918	0.9370531269798171	7/3/23	July	Palermo_ME2017	9
B0037	bor	Q	37	7/3/17	FJ	Belgrade_Lakes	Kennebec	44.5108	-69.905							2017-31-07	8/3/17	258.0		258.0		2017_1	37.0	2017	0.7453318845759707	Belgrade_Lakes	Belgrade_Lakes	0.0	63	2.627525101518196	-0.07302754539507776	-0.06386209487066462	Belgrade_Lakes7/3/17	0.7096022727272727	0.0	0.15198863636363635	0.003465909090909091	0.00022727272727272727	0.07386363636363637	0.04318181818181818	0.151875	0.7078409090909091	0.0011931818181818183	0.9816477272727273	0.8615909090909091	7/3/23	July	Belgrade_Lakes2017	10
B0038	vag	W	38	7/3/17	FJ	344 N Palermo Rd; Palermo; ME	Waldo	44.4252	-69.4381							2017-31-07	8/3/17	55.0		55.0		2017_1	38.0	2017	2.6881829915647875	Palermo_ME	Palermo_ME	0.0	63	1.439544404385035	-0.06552152478621683	0.05779977394479793	344 N Palermo Rd; Palermo; ME7/3/17	0.4944816264679884	0.0	0.4952898093193585	0.0	0.010051774213915898	0.0	0.0	0.49506250789241063	0.1734057330471019	0.32092435913625456	0.999444374289683	0.9897714357873468	7/3/23	July	Palermo_ME2017	9
B0039	bim	W	39	7/3/17	FJ	271 Parmenter Hill Rd; Palermo; ME	Waldo	44.43	-69.4753							2017-31-07	8/3/17	69.0		69.0		2017_1	39.0	2017	3.35595373899357	Palermo_ME	Palermo_ME	0.0	63	1.634564181948126	-0.06475632218647363	0.04666914475051575	271 Parmenter Hill Rd; Palermo; ME7/3/17	0.5473980602774012	0.0	0.44877811381096394	0.0	0.0022942955469809154	0.0	0.0	0.44877811381096394	0.5466680571488164	0.0004866687523898912	0.9982271352591512	0.9961761740883652	7/3/23	July	Palermo_ME2017	11
B0040	imp	W	40	7/3/17	FJ	Albion Center	Kennebec	44.532	-69.4414							1/8/17	8/3/17	58.0		58.0		2017_1	40.0	2017	3.112793760691578	Albion_ME	Albion_ME	0.0	63	2.472545181728314	-0.08819772708018704	-0.13754669431107913	Albion Center7/3/17	0.49695918501767405	4.3910685665356664e-05	0.07651436977188399	0.0105385645596856	0.0016246953696181965	0.0076185039629393814	0.3967989110149955	0.07633872702922256	0.35337124289195776	0.14343425472588756	0.9897248995543064	0.5735174654752234	7/3/23	July	Albion_ME2017	12
B0041	tern	W	41	7/3/17	FJ	344 N Palermo Rd; Palermo; ME	Waldo	44.4252	-69.4381							1/8/17	8/3/17	13.0		25.8	1.99	2017_1	41.0	2017	0.0	Palermo_ME	Palermo_ME	0.0	63	2.049491254774156	-0.03664641998019687	0.11015951411775898	344 N Palermo Rd; Palermo; ME7/3/17	0.34051724137931033	0.0	0.6508004926108374	0.0	0.004536124794745485	0.0	0.003961412151067324	0.6506568144499179	0.3050287356321839	0.031732348111658454	0.9959154351395731	0.9913177339901478	7/3/23	July	Palermo_ME2017	9
