	xB0008	xB0011	xB0071	xB0075	xB0078	xB0080	xB0101	xB0124	xB0131	xB0142	xB0144	xB0150	xB0164	xB0166	xB0167	x11	x12	x133	x16	x19	x27	x31	x51	x55	x67	x7	x71	x78	x83	x85	x86	x90	x91	xDRA190709_008	xDRA190824_001	xDRA190824_003	xDRA190824_004	xDRA190824_005	xDRA190824_006	xFJ190628_012	xFJ190705_001	xFJ190711_009	xFJ190809_001	xFJ190809_006	xFJ190809_007	xFJ190809_009	xFJ190809_011	xFJ190814_001	xFJ190814_002	xFJ190814_003	xFJ190814_005	xFJ190814_006	xFJ190814_008	xFJ190814_009	xFJ190815_004	xFJ190822_004	xFJ190822_006	xFJ190822_007	xFJ190822_008	xFJ190827_001	xFJ190827_004	xFJ190827_022	xFJ190827_006	xFJ190828_003	xFJ190828_004	xJL190619_001	xJL190619_002	xJL190724_004	xJL190724_005	xJL190731_001	xJL190731_002	xJL190731_003	xJL190731_004	xJL190806_005	xJL190806_007	xJL190809_007	xJL190809_010
xB0144	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.007439982146024704	0.003890186781063676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01747104339301586	0.01747104339301586	0.01983995363116264	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.00984140858054161	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01993297040462494	0.01626972854137421	0.002660055411979556	0.01747104339301586	0.01747104339301586	0.01702279224991798	0.0	0.0	0.0002528328914195299	0.000542748486623168	0.0007346658385358751	0.0007985465927049518	0.0	0.0133587596938014	0.01983995363116264	0.01747104339301586	0.01747104339301586	0.01527351792901754	0.01747104339301586	0.01747104339301586	0.0	0.0007663708529435098	0.0	0.0	0.0	0.0	0.0	0.0	0.00887819193303585	0.003157246857881546	0.0	0.004442652221769094	0.0	0.01162329036742449	0.01621967367827892	0.005175490863621235	0.0	0.01747104339301586	0.0	0.01983995363116264	0.01747104339301586	0.0	0.01983995363116264	0.0	0.0	0.0	0.0	0.0	0.005916206166148186	0.01747104339301586
xB0150	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.007439982146024704	0.003890186781063676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01747104339301586	0.01747104339301586	0.01983995363116264	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.00984140858054161	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01993297040462494	0.01626972854137421	0.002660055411979556	0.01747104339301586	0.01747104339301586	0.01702279224991798	0.0	0.0	0.0002528328914195299	0.000542748486623168	0.0007346658385358751	0.0007985465927049518	0.0	0.0133587596938014	0.01983995363116264	0.01747104339301586	0.01747104339301586	0.01527351792901754	0.01747104339301586	0.01747104339301586	0.0	0.0007663708529435098	0.0	0.0	0.0	0.0	0.0	0.0	0.00887819193303585	0.003157246857881546	0.0	0.004442652221769094	0.0	0.01162329036742449	0.01621967367827892	0.005175490863621235	0.0	0.01747104339301586	0.0	0.01983995363116264	0.01747104339301586	0.0	0.01983995363116264	0.0	0.0	0.0	0.0	0.0	0.005916206166148186	0.01747104339301586
xB0164	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.007439982146024704	0.003890186781063676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01747104339301586	0.01747104339301586	0.01983995363116264	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.00984140858054161	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01993297040462494	0.01626972854137421	0.002660055411979556	0.01747104339301586	0.01747104339301586	0.01702279224991798	0.0	0.0	0.0002528328914195299	0.000542748486623168	0.0007346658385358751	0.0007985465927049518	0.0	0.0133587596938014	0.01983995363116264	0.01747104339301586	0.01747104339301586	0.01527351792901754	0.01747104339301586	0.01747104339301586	0.0	0.0007663708529435098	0.0	0.0	0.0	0.0	0.0	0.0	0.00887819193303585	0.003157246857881546	0.0	0.004442652221769094	0.0	0.01162329036742449	0.01621967367827892	0.005175490863621235	0.0	0.01747104339301586	0.0	0.01983995363116264	0.01747104339301586	0.0	0.01983995363116264	0.0	0.0	0.0	0.0	0.0	0.005916206166148186	0.01747104339301586
xB0166	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.007439982146024704	0.003890186781063676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01747104339301586	0.01747104339301586	0.01983995363116264	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.00984140858054161	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01993297040462494	0.01626972854137421	0.002660055411979556	0.01747104339301586	0.01747104339301586	0.01702279224991798	0.0	0.0	0.0002528328914195299	0.000542748486623168	0.0007346658385358751	0.0007985465927049518	0.0	0.0133587596938014	0.01983995363116264	0.01747104339301586	0.01747104339301586	0.01527351792901754	0.01747104339301586	0.01747104339301586	0.0	0.0007663708529435098	0.0	0.0	0.0	0.0	0.0	0.0	0.00887819193303585	0.003157246857881546	0.0	0.004442652221769094	0.0	0.01162329036742449	0.01621967367827892	0.005175490863621235	0.0	0.01747104339301586	0.0	0.01983995363116264	0.01747104339301586	0.0	0.01983995363116264	0.0	0.0	0.0	0.0	0.0	0.005916206166148186	0.01747104339301586
xB0167	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.007439982146024704	0.003890186781063676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01747104339301586	0.01747104339301586	0.01983995363116264	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.00984140858054161	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01993297040462494	0.01626972854137421	0.002660055411979556	0.01747104339301586	0.01747104339301586	0.01702279224991798	0.0	0.0	0.0002528328914195299	0.000542748486623168	0.0007346658385358751	0.0007985465927049518	0.0	0.0133587596938014	0.01983995363116264	0.01747104339301586	0.01747104339301586	0.01527351792901754	0.01747104339301586	0.01747104339301586	0.0	0.0007663708529435098	0.0	0.0	0.0	0.0	0.0	0.0	0.00887819193303585	0.003157246857881546	0.0	0.004442652221769094	0.0	0.01162329036742449	0.01621967367827892	0.005175490863621235	0.0	0.01747104339301586	0.0	0.01983995363116264	0.01747104339301586	0.0	0.01983995363116264	0.0	0.0	0.0	0.0	0.0	0.005916206166148186	0.01747104339301586
x11	0.0	0.0	0.0	0.0230700671672821	0.02039864100515842	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.0	0.0	0.03240177780389786	0.0	0.0	0.0	0.0	0.0	0.007629634812474251	0.0	0.0	0.0	0.002461949829012156	0.001201315317302942	0.01907912455499172	0.0	0.0	0.0004482516960706562	0.01747104339301586	0.01747104339301586	0.01728050410747528	0.01775456219911575	0.01674341037869453	0.01686923950910568	0.01747104339301586	0.02752429805696011	0.03240177780389786	0.0	0.0	0.002197528025135398	0.0	0.0	0.01747104339301586	0.01689348742365837	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.008634183555841446	0.01431379653513432	0.01747104339301586	0.01302839163690805	0.01747104339301586	0.008711457252502441	0.001251370063982904	0.01357067096978426	0.01747104339301586	0.0	0.01747104339301586	0.03240177780389786	0.0	0.01747104339301586	0.03240177780389786	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01155483722686768	0.0
x12	0.0	0.0	0.0	0.0230700671672821	0.02039864100515842	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.0	0.0	0.03240177780389786	0.0	0.0	0.0	0.0	0.0	0.007629634812474251	0.0	0.0	0.0	0.002461949829012156	0.001201315317302942	0.01907912455499172	0.0	0.0	0.0004482516960706562	0.01747104339301586	0.01747104339301586	0.01728050410747528	0.01775456219911575	0.01674341037869453	0.01686923950910568	0.01747104339301586	0.02752429805696011	0.03240177780389786	0.0	0.0	0.002197528025135398	0.0	0.0	0.01747104339301586	0.01689348742365837	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.008634183555841446	0.01431379653513432	0.01747104339301586	0.01302839163690805	0.01747104339301586	0.008711457252502441	0.001251370063982904	0.01357067096978426	0.01747104339301586	0.0	0.01747104339301586	0.03240177780389786	0.0	0.01747104339301586	0.03240177780389786	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01155483722686768	0.0
x133	0.03240177780389786	0.03240177780389786	0.03240177780389786	0.01239996962249279	0.01594976522028446	0.01983995363116264	0.01983995363116264	0.01983995363116264	0.01983995363116264	0.01983995363116264	0.01983995363116264	0.01983995363116264	0.01983995363116264	0.01983995363116264	0.01983995363116264	0.03240177780389786	0.03240177780389786	0.0	0.03240177780389786	0.03240177780389786	0.03240177780389786	0.03240177780389786	0.03240177780389786	0.0268920361995697	0.03240177780389786	0.03240177780389786	0.03240177780389786	0.03486370295286179	0.0312004629522562	0.01717989891767502	0.03240177780389786	0.03240177780389786	0.03195352479815483	0.01983995363116264	0.01983995363116264	0.02003049477934837	0.02033953741192818	0.02036010473966599	0.02044175751507282	0.01983995363116264	0.006481194403022528	0.0	0.03240177780389786	0.03240177780389786	0.03020424954593182	0.03240177780389786	0.03240177780389786	0.01983995363116264	0.02041750773787498	0.01983995363116264	0.01983995363116264	0.01983995363116264	0.01983995363116264	0.01983995363116264	0.01983995363116264	0.02618472836911678	0.02207146212458611	0.01983995363116264	0.02299182116985321	0.01983995363116264	0.02859953604638577	0.03115040622651577	0.02374032326042652	0.01983995363116264	0.03240177780389786	0.01983995363116264	0.0	0.03240177780389786	0.01983995363116264	0.0	0.01983995363116264	0.01983995363116264	0.01983995363116264	0.01983995363116264	0.01983995363116264	0.02402100525796413	0.03240177780389786
x16	0.0	0.0	0.0	0.0230700671672821	0.02039864100515842	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.0	0.0	0.03240177780389786	0.0	0.0	0.0	0.0	0.0	0.007629634812474251	0.0	0.0	0.0	0.002461949829012156	0.001201315317302942	0.01907912455499172	0.0	0.0	0.0004482516960706562	0.01747104339301586	0.01747104339301586	0.01728050410747528	0.01775456219911575	0.01674341037869453	0.01686923950910568	0.01747104339301586	0.02752429805696011	0.03240177780389786	0.0	0.0	0.002197528025135398	0.0	0.0	0.01747104339301586	0.01689348742365837	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.008634183555841446	0.01431379653513432	0.01747104339301586	0.01302839163690805	0.01747104339301586	0.008711457252502441	0.001251370063982904	0.01357067096978426	0.01747104339301586	0.0	0.01747104339301586	0.03240177780389786	0.0	0.01747104339301586	0.03240177780389786	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01155483722686768	0.0
x19	0.0	0.0	0.0	0.0230700671672821	0.02039864100515842	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.0	0.0	0.03240177780389786	0.0	0.0	0.0	0.0	0.0	0.007629634812474251	0.0	0.0	0.0	0.002461949829012156	0.001201315317302942	0.01907912455499172	0.0	0.0	0.0004482516960706562	0.01747104339301586	0.01747104339301586	0.01728050410747528	0.01775456219911575	0.01674341037869453	0.01686923950910568	0.01747104339301586	0.02752429805696011	0.03240177780389786	0.0	0.0	0.002197528025135398	0.0	0.0	0.01747104339301586	0.01689348742365837	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.008634183555841446	0.01431379653513432	0.01747104339301586	0.01302839163690805	0.01747104339301586	0.008711457252502441	0.001251370063982904	0.01357067096978426	0.01747104339301586	0.0	0.01747104339301586	0.03240177780389786	0.0	0.01747104339301586	0.03240177780389786	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01747104339301586	0.01155483722686768	0.0
