	xB0017	xB0069	xB0072	xB0075	xB0076	xB0077	xB0087	xB0088	xB0089	xB0093	xB0095	xB0101	xB0105	xB0110	xB0124	xB0126	xB0136	xB0147	xB0155	xB0156	xB0166	xB0167	xB0169	x108	x125	x15	x150	x180	x31	x35	x42	x48	x67	x7	x71	x73	x78	x90	x91	xDRA190709_007	xDRA190709_009	xDRA190824_001	xDRA190824_004	xDRA190824_005	xFJ190619_005	xFJ190711_009	xFJ190718_002	xFJ190724_005	xFJ190809_001	xFJ190809_007	xFJ190809_013	xFJ190814_005	xFJ190815_004	xFJ190822_001	xFJ190822_003	xFJ190822_004	xFJ190822_007	xFJ190822_008	xFJ190827_004	xFJ190827_005	xFJ190827_006	xFJ190827_013	xFJ190828_003	xJL190731_002	xJL190731_004	xJL190731_005	xJL190806_008	xJL190809_007	xJL190809_008	xJL190910_001	xJLS190718_002	xPF190724_002	xPF190724_004
xB0095	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002304097637534142	0.001660999376326799	0.002511954866349697	0.002511954866349697	0.0	0.001500195357948542	0.002511954866349697	0.002511954866349697	0.0	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002537762513384223	0.002511954866349697	0.002511954866349697	0.00975531991571188	0.002511954866349697	0.002511954866349697	0.00975531991571188	0.002511954866349697	0.002485432429239154	0.00975531991571188	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.00264087924733758	0.002511954866349697	0.0	0.0	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.01226725801825523	0.01226725801825523	0.002511954866349697	0.002755934605374932	0.002511954866349697	0.002289303345605731	0.01226725801825523	0.07489542663097382	0.002511954866349697	0.002511954866349697	0.0147815840318799	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.01226725801825523	0.003372717183083296	0.002511954866349697	0.01226725801825523	0.002511954866349697	0.002511954866349697	0.002511954866349697
xB0101	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.0008039021631702781	0.0001608042075531557	0.001011759624816477	0.001011759624816477	0.001500195357948542	0.0	0.001011759624816477	0.001011759624816477	0.001500195357948542	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001037567155435681	0.001011759624816477	0.001011759624816477	0.01125550176948309	0.001011759624816477	0.001011759624816477	0.01125550176948309	0.001011759624816477	0.0009852370712906122	0.01125550176948309	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001140684238635004	0.001011759624816477	0.001500195357948542	0.001500195357948542	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.01376744080334902	0.01376744080334902	0.001011759624816477	0.001255739014595747	0.001011759624816477	0.003789485432207584	0.01376744080334902	0.07639560103416443	0.001011759624816477	0.001011759624816477	0.01628176495432854	0.001011759624816477	0.001011759624816477	0.001011759624816477	0.01376744080334902	0.001872522057965398	0.001011759624816477	0.01376744080334902	0.001011759624816477	0.001011759624816477	0.001011759624816477
xB0105	0.0	0.0	0.0	0.0	0.0	0.0	0.0002078574325423688	0.0008509554318152368	0.0	0.0	0.002511954866349697	0.001011759624816477	0.0	0.0	0.002511954866349697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.370732858660631e-05	0.0	0.0	0.01226725243031979	0.0	0.0	0.01226725243031979	0.0	0.001414756989106536	0.01226725243031979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001953194732777774	0.0	0.002511954866349697	0.002511954866349697	0.0	0.0	0.0	0.0	0.0	0.0	0.01477919146418571	0.01477919146418571	0.0	0.0003696265630424023	0.0	0.004801237490028143	0.01477919146418571	0.0774073526263237	0.0	0.0	0.01729351654648781	0.0	0.0	0.0	0.01477919146418571	0.001304046716541052	0.0	0.01477919146418571	0.0	0.0	0.0
xB0110	0.0	0.0	0.0	0.0	0.0	0.0	0.0002078574325423688	0.0008509554318152368	0.0	0.0	0.002511954866349697	0.001011759624816477	0.0	0.0	0.002511954866349697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.370732858660631e-05	0.0	0.0	0.01226725243031979	0.0	0.0	0.01226725243031979	0.0	0.001414756989106536	0.01226725243031979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001953194732777774	0.0	0.002511954866349697	0.002511954866349697	0.0	0.0	0.0	0.0	0.0	0.0	0.01477919146418571	0.01477919146418571	0.0	0.0003696265630424023	0.0	0.004801237490028143	0.01477919146418571	0.0774073526263237	0.0	0.0	0.01729351654648781	0.0	0.0	0.0	0.01477919146418571	0.001304046716541052	0.0	0.01477919146418571	0.0	0.0	0.0
xB0124	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002304097637534142	0.001660999376326799	0.002511954866349697	0.002511954866349697	0.0	0.001500195357948542	0.002511954866349697	0.002511954866349697	0.0	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002537762513384223	0.002511954866349697	0.002511954866349697	0.00975531991571188	0.002511954866349697	0.002511954866349697	0.00975531991571188	0.002511954866349697	0.002485432429239154	0.00975531991571188	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.00264087924733758	0.002511954866349697	0.0	0.0	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.01226725801825523	0.01226725801825523	0.002511954866349697	0.002755934605374932	0.002511954866349697	0.002289303345605731	0.01226725801825523	0.07489542663097382	0.002511954866349697	0.002511954866349697	0.0147815840318799	0.002511954866349697	0.002511954866349697	0.002511954866349697	0.01226725801825523	0.003372717183083296	0.002511954866349697	0.01226725801825523	0.002511954866349697	0.002511954866349697	0.002511954866349697
xB0126	0.0	0.0	0.0	0.0	0.0	0.0	0.0002078574325423688	0.0008509554318152368	0.0	0.0	0.002511954866349697	0.001011759624816477	0.0	0.0	0.002511954866349697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.370732858660631e-05	0.0	0.0	0.01226725243031979	0.0	0.0	0.01226725243031979	0.0	0.001414756989106536	0.01226725243031979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001953194732777774	0.0	0.002511954866349697	0.002511954866349697	0.0	0.0	0.0	0.0	0.0	0.0	0.01477919146418571	0.01477919146418571	0.0	0.0003696265630424023	0.0	0.004801237490028143	0.01477919146418571	0.0774073526263237	0.0	0.0	0.01729351654648781	0.0	0.0	0.0	0.01477919146418571	0.001304046716541052	0.0	0.01477919146418571	0.0	0.0	0.0
xB0136	0.0	0.0	0.0	0.0	0.0	0.0	0.0002078574325423688	0.0008509554318152368	0.0	0.0	0.002511954866349697	0.001011759624816477	0.0	0.0	0.002511954866349697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.370732858660631e-05	0.0	0.0	0.01226725243031979	0.0	0.0	0.01226725243031979	0.0	0.001414756989106536	0.01226725243031979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001953194732777774	0.0	0.002511954866349697	0.002511954866349697	0.0	0.0	0.0	0.0	0.0	0.0	0.01477919146418571	0.01477919146418571	0.0	0.0003696265630424023	0.0	0.004801237490028143	0.01477919146418571	0.0774073526263237	0.0	0.0	0.01729351654648781	0.0	0.0	0.0	0.01477919146418571	0.001304046716541052	0.0	0.01477919146418571	0.0	0.0	0.0
xB0147	0.0	0.0	0.0	0.0	0.0	0.0	0.0002078574325423688	0.0008509554318152368	0.0	0.0	0.002511954866349697	0.001011759624816477	0.0	0.0	0.002511954866349697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.370732858660631e-05	0.0	0.0	0.01226725243031979	0.0	0.0	0.01226725243031979	0.0	0.001414756989106536	0.01226725243031979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001953194732777774	0.0	0.002511954866349697	0.002511954866349697	0.0	0.0	0.0	0.0	0.0	0.0	0.01477919146418571	0.01477919146418571	0.0	0.0003696265630424023	0.0	0.004801237490028143	0.01477919146418571	0.0774073526263237	0.0	0.0	0.01729351654648781	0.0	0.0	0.0	0.01477919146418571	0.001304046716541052	0.0	0.01477919146418571	0.0	0.0	0.0
xB0155	0.0	0.0	0.0	0.0	0.0	0.0	0.0002078574325423688	0.0008509554318152368	0.0	0.0	0.002511954866349697	0.001011759624816477	0.0	0.0	0.002511954866349697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.370732858660631e-05	0.0	0.0	0.01226725243031979	0.0	0.0	0.01226725243031979	0.0	0.001414756989106536	0.01226725243031979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001953194732777774	0.0	0.002511954866349697	0.002511954866349697	0.0	0.0	0.0	0.0	0.0	0.0	0.01477919146418571	0.01477919146418571	0.0	0.0003696265630424023	0.0	0.004801237490028143	0.01477919146418571	0.0774073526263237	0.0	0.0	0.01729351654648781	0.0	0.0	0.0	0.01477919146418571	0.001304046716541052	0.0	0.01477919146418571	0.0	0.0	0.0
xB0156	0.0	0.0	0.0	0.0	0.0	0.0	0.0002078574325423688	0.0008509554318152368	0.0	0.0	0.002511954866349697	0.001011759624816477	0.0	0.0	0.002511954866349697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.370732858660631e-05	0.0	0.0	0.01226725243031979	0.0	0.0	0.01226725243031979	0.0	0.001414756989106536	0.01226725243031979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001953194732777774	0.0	0.002511954866349697	0.002511954866349697	0.0	0.0	0.0	0.0	0.0	0.0	0.01477919146418571	0.01477919146418571	0.0	0.0003696265630424023	0.0	0.004801237490028143	0.01477919146418571	0.0774073526263237	0.0	0.0	0.01729351654648781	0.0	0.0	0.0	0.01477919146418571	0.001304046716541052	0.0	0.01477919146418571	0.0	0.0	0.0
