	xB0004	xB0028	xB0068	xB0083	xB0104	xB0108	xB0109	xB0110	xB0115	xB0118	xB0124	xB0127	xB0135	xB0154	x126	x132	x133	x138	x158	x17	x21	x216	x221	x229	x282	x283	x41	x5	x54	x77	x90	x93	x98	xDRA190824_001	xFJ190610_001	xFJ190610_012	xFJ190610_013	xFJ190610_027	xFJ190612_001	xFJ190612_003	xFJ190619_003	xFJ190619_005	xFJ190621_002	xFJ190628_011	xFJ190628_013	xFJ190703_012	xFJ190809_007	xFJ190809_011	xFJ190809_013	xFJ190814_003	xFJ190822_001	xFJ190822_002	xFJ190822_003	xFJ190905_003	xJL190610_041	xJL190619_001	xJL190619_002	xJL190619_009	xJL190619_010	xJL190703_006	xJL190724_004	xJL190809_003	xJL190905_001	xMY190522_001	xMY190522_006	xMY190529_002	xMY190612_001	xMY190619_002
xB0124	0.0528063140809536	0.01517585478723049	0.02570498734712601	0.007555321324616671	0.06104233860969543	0.06104233860969543	0.01522090006619692	0.03186152130365372	0.01265485398471355	0.02793539501726627	0.0	0.002517419634386897	0.01517585478723049	0.02798209525644779	0.0528063140809536	0.04968878254294395	0.0528063140809536	0.0528063140809536	0.0528063140809536	0.005043142940849066	0.0528063140809536	0.02031788602471352	0.01517585478723049	0.01612607017159462	0.01264728605747223	0.01264728605747223	0.00794348493218422	0.0528063140809536	0.0	0.0528063140809536	0.04707004129886627	0.0528063140809536	0.0528063140809536	0.03047420643270016	0.03047420643270016	0.03047420643270016	0.03047420643270016	0.0354372151196003	0.03047420643270016	0.03047420643270016	0.03047420643270016	0.02927934564650059	0.03047420643270016	0.03047420643270016	0.007555321324616671	0.005038479808717966	0.03403327986598015	0.06104233860969543	0.02855180576443672	0.03047420643270016	0.05495673790574074	0.0	0.06104233860969543	0.002517419634386897	0.04582973942160606	0.03047420643270016	0.03047420643270016	0.03047420643270016	0.03047420643270016	0.02606613375246525	0.01010511629283428	0.007555321324616671	0.06662286818027496	0.03047420643270016	0.03047420643270016	0.03047420643270016	0.03047420643270016	0.03047420643270016
xB0127	0.05532371625304222	0.01769326440989971	0.02318757586181164	0.0100727304816246	0.06355974078178406	0.06355974078178406	0.01773830875754356	0.0293441116809845	0.01517226360738277	0.03045280463993549	0.002517419634386897	0.0	0.01769326440989971	0.03049950487911701	0.05532371625304222	0.05220618471503258	0.05532371625304222	0.05532371625304222	0.05532371625304222	0.00756055349484086	0.05532371625304222	0.02283529564738274	0.01769326440989971	0.01763651706278324	0.01516469568014145	0.01516469568014145	0.008524431847035885	0.05532371625304222	0.002517419634386897	0.05532371625304222	0.0495874434709549	0.05532371625304222	0.05532371625304222	0.03299161419272423	0.03299161419272423	0.03299161419272423	0.03299161419272423	0.03795462474226952	0.03299161419272423	0.03299161419272423	0.03299161419272423	0.03179675340652466	0.03299161419272423	0.03299161419272423	0.0100727304816246	0.007555890362709761	0.03655068203806877	0.06355974078178406	0.0260343961417675	0.03299161419272423	0.05747414007782936	0.002517419634386897	0.06355974078178406	0.0	0.04834714904427528	0.03299161419272423	0.03299161419272423	0.03299161419272423	0.03299161419272423	0.02858354337513447	0.01262252684682608	0.0100727304816246	0.06914026290178299	0.03299161419272423	0.03299161419272423	0.03299161419272423	0.03299161419272423	0.03299161419272423
xB0135	0.06798215955495834	0.0	0.04088082537055016	0.01769264787435532	0.07621818780899048	0.07621818780899048	0.01017507072538137	0.04703736305236816	0.002521010814234614	0.0279487743973732	0.01517585478723049	0.01769326440989971	0.0	0.02799547091126442	0.06798215955495834	0.06474052369594574	0.06798215955495834	0.06798215955495834	0.06798215955495834	0.01013272348791361	0.06798215955495834	0.02033126354217529	0.0	0.02263765223324299	0.01266066450625658	0.01266066450625658	0.02311933599412441	0.06798215955495834	0.01517585478723049	0.06798215955495834	0.06224589049816132	0.06798215955495834	0.06798215955495834	0.03048758208751678	0.03048758208751678	0.03048758208751678	0.03048758208751678	0.03772496059536934	0.03048758208751678	0.03048758208751678	0.03048758208751678	0.02929272130131721	0.03048758208751678	0.03048758208751678	0.01769264787435532	0.01517580635845661	0.04289143159985542	0.07621818780899048	0.04372764378786087	0.03048758208751678	0.07013258337974548	0.01517585478723049	0.07621818780899048	0.01769326440989971	0.04584312438964844	0.03048758208751678	0.03048758208751678	0.03048758208751678	0.03048758208751678	0.02607950940728188	0.01011850591748953	0.01769264787435532	0.08179871737957001	0.03048758208751678	0.03048758208751678	0.03048758208751678	0.03048758208751678	0.03048758208751678
xB0154	0.08078839629888535	0.02799547091126442	0.05368706583976746	0.03049888834357262	0.08902443945407867	0.08902443945407867	0.02804051712155342	0.05984360352158546	0.02547447010874748	0.02039333619177341	0.02798209525644779	0.03049950487911701	0.02799547091126442	0.0	0.08078839629888535	0.07754676043987274	0.08078839629888535	0.08078839629888535	0.08078839629888535	0.02293896302580833	0.08078839629888535	0.01277582533657551	0.02799547091126442	0.02380864508450031	0.01533482037484646	0.01533482037484646	0.03592557460069656	0.08078839629888535	0.02798209525644779	0.08078839629888535	0.07505211979150772	0.08078839629888535	0.08078839629888535	0.01723377779126167	0.01723377779126167	0.01723377779126167	0.01723377779126167	0.02838016115128994	0.01723377779126167	0.01723377779126167	0.01723377779126167	0.01670931279659271	0.01723377779126167	0.01723377779126167	0.03049888834357262	0.02798204682767391	0.04721363633871078	0.08902443945407867	0.05653388425707817	0.01723377779126167	0.08293883502483368	0.02798209525644779	0.08902443945407867	0.03049950487911701	0.0382876843214035	0.01723377779126167	0.01723377779126167	0.01723377779126167	0.01723377779126167	0.01282570697367191	0.02292474545538425	0.03049888834357262	0.09460495412349701	0.01723377779126167	0.01723377779126167	0.01723377779126167	0.01723377779126167	0.01723377779126167
x126	0.0	0.06798215955495834	0.07851128280162811	0.06036162376403809	0.09740132838487625	0.09740132838487625	0.06802720576524734	0.08466781675815582	0.0654611587524414	0.08074169605970383	0.0528063140809536	0.05532371625304222	0.06798215955495834	0.08078839629888535	0.0	0.007100476883351803	0.0	0.0	0.0	0.0578494481742382	0.0	0.07312419265508652	0.06798215955495834	0.06893237680196762	0.06545358896255493	0.06545358896255493	0.06074979528784752	0.0	0.0528063140809536	0.0	0.0834290161728859	0.0	0.0	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.0857764258980751	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08208564668893814	0.08328051120042801	0.08328051120042801	0.06036162376403809	0.05784478411078453	0.05978114530444145	0.09740132838487625	0.08135809749364853	0.08328051120042801	0.09131572395563126	0.0528063140809536	0.09740132838487625	0.05532371625304222	0.09863605350255966	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.078872449696064	0.06291142106056213	0.06036162376403809	0.1029818505048752	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801
x132	0.007100476883351803	0.06474052369594574	0.07539373636245728	0.05687190964818001	0.09468889981508255	0.09468889981508255	0.06478556990623474	0.08155027776956558	0.0622195228934288	0.07750006020069122	0.04968878254294395	0.05220618471503258	0.06474052369594574	0.07754676043987274	0.007100476883351803	0.0	0.007100476883351803	0.007100476883351803	0.007100476883351803	0.0546078160405159	0.007100476883351803	0.06988254934549332	0.06474052369594574	0.06569074094295502	0.06221195682883263	0.06221195682883263	0.05763226374983788	0.007100476883351803	0.04968878254294395	0.007100476883351803	0.0807165801525116	0.007100476883351803	0.007100476883351803	0.0800388753414154	0.0800388753414154	0.0800388753414154	0.0800388753414154	0.0825347825884819	0.0800388753414154	0.0800388753414154	0.0800388753414154	0.07884401082992554	0.0800388753414154	0.0800388753414154	0.05687190964818001	0.05447905138134956	0.05653950944542885	0.09468889981508255	0.07824055850505829	0.0800388753414154	0.08860329538583755	0.04968878254294395	0.09468889981508255	0.05220618471503258	0.09539441764354706	0.0800388753414154	0.0800388753414154	0.0800388753414154	0.0800388753414154	0.0756307989358902	0.05966978892683983	0.05687190964818001	0.1002694219350815	0.0800388753414154	0.0800388753414154	0.0800388753414154	0.0800388753414154	0.0800388753414154
x133	0.0	0.06798215955495834	0.07851128280162811	0.06036162376403809	0.09740132838487625	0.09740132838487625	0.06802720576524734	0.08466781675815582	0.0654611587524414	0.08074169605970383	0.0528063140809536	0.05532371625304222	0.06798215955495834	0.08078839629888535	0.0	0.007100476883351803	0.0	0.0	0.0	0.0578494481742382	0.0	0.07312419265508652	0.06798215955495834	0.06893237680196762	0.06545358896255493	0.06545358896255493	0.06074979528784752	0.0	0.0528063140809536	0.0	0.0834290161728859	0.0	0.0	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.0857764258980751	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08208564668893814	0.08328051120042801	0.08328051120042801	0.06036162376403809	0.05784478411078453	0.05978114530444145	0.09740132838487625	0.08135809749364853	0.08328051120042801	0.09131572395563126	0.0528063140809536	0.09740132838487625	0.05532371625304222	0.09863605350255966	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.078872449696064	0.06291142106056213	0.06036162376403809	0.1029818505048752	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801
x138	0.0	0.06798215955495834	0.07851128280162811	0.06036162376403809	0.09740132838487625	0.09740132838487625	0.06802720576524734	0.08466781675815582	0.0654611587524414	0.08074169605970383	0.0528063140809536	0.05532371625304222	0.06798215955495834	0.08078839629888535	0.0	0.007100476883351803	0.0	0.0	0.0	0.0578494481742382	0.0	0.07312419265508652	0.06798215955495834	0.06893237680196762	0.06545358896255493	0.06545358896255493	0.06074979528784752	0.0	0.0528063140809536	0.0	0.0834290161728859	0.0	0.0	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.0857764258980751	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08208564668893814	0.08328051120042801	0.08328051120042801	0.06036162376403809	0.05784478411078453	0.05978114530444145	0.09740132838487625	0.08135809749364853	0.08328051120042801	0.09131572395563126	0.0528063140809536	0.09740132838487625	0.05532371625304222	0.09863605350255966	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.078872449696064	0.06291142106056213	0.06036162376403809	0.1029818505048752	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801
x158	0.0	0.06798215955495834	0.07851128280162811	0.06036162376403809	0.09740132838487625	0.09740132838487625	0.06802720576524734	0.08466781675815582	0.0654611587524414	0.08074169605970383	0.0528063140809536	0.05532371625304222	0.06798215955495834	0.08078839629888535	0.0	0.007100476883351803	0.0	0.0	0.0	0.0578494481742382	0.0	0.07312419265508652	0.06798215955495834	0.06893237680196762	0.06545358896255493	0.06545358896255493	0.06074979528784752	0.0	0.0528063140809536	0.0	0.0834290161728859	0.0	0.0	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.0857764258980751	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08208564668893814	0.08328051120042801	0.08328051120042801	0.06036162376403809	0.05784478411078453	0.05978114530444145	0.09740132838487625	0.08135809749364853	0.08328051120042801	0.09131572395563126	0.0528063140809536	0.09740132838487625	0.05532371625304222	0.09863605350255966	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.078872449696064	0.06291142106056213	0.06036162376403809	0.1029818505048752	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801
x17	0.0578494481742382	0.01013272348791361	0.03074811957776546	0.007559935562312603	0.06608547270298004	0.06608547270298004	0.01017776876688004	0.03690465539693832	0.007611723151057959	0.02289226278662682	0.005043142940849066	0.00756055349484086	0.01013272348791361	0.02293896302580833	0.0578494481742382	0.0546078160405159	0.0578494481742382	0.0578494481742382	0.0578494481742382	0.0	0.0578494481742382	0.01527475286275148	0.01013272348791361	0.01540562324225903	0.007604155223816633	0.007604155223816633	0.0129866236820817	0.0578494481742382	0.005043142940849066	0.0578494481742382	0.05211317539215088	0.0578494481742382	0.0578494481742382	0.0254310742020607	0.0254310742020607	0.0254310742020607	0.0254310742020607	0.03190701827406883	0.0254310742020607	0.0254310742020607	0.0254310742020607	0.02423621341586113	0.0254310742020607	0.0254310742020607	0.007559935562312603	0.005043094977736473	0.03487380221486092	0.06608547270298004	0.03359493613243103	0.0254310742020607	0.05999987199902534	0.005043142940849066	0.06608547270298004	0.00756055349484086	0.04078661277890205	0.0254310742020607	0.0254310742020607	0.0254310742020607	0.0254310742020607	0.02102300152182579	0.005061985924839973	0.007559935562312603	0.07166599482297897	0.0254310742020607	0.0254310742020607	0.0254310742020607	0.0254310742020607	0.0254310742020607
x21	0.0	0.06798215955495834	0.07851128280162811	0.06036162376403809	0.09740132838487625	0.09740132838487625	0.06802720576524734	0.08466781675815582	0.0654611587524414	0.08074169605970383	0.0528063140809536	0.05532371625304222	0.06798215955495834	0.08078839629888535	0.0	0.007100476883351803	0.0	0.0	0.0	0.0578494481742382	0.0	0.07312419265508652	0.06798215955495834	0.06893237680196762	0.06545358896255493	0.06545358896255493	0.06074979528784752	0.0	0.0528063140809536	0.0	0.0834290161728859	0.0	0.0	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.0857764258980751	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08208564668893814	0.08328051120042801	0.08328051120042801	0.06036162376403809	0.05784478411078453	0.05978114530444145	0.09740132838487625	0.08135809749364853	0.08328051120042801	0.09131572395563126	0.0528063140809536	0.09740132838487625	0.05532371625304222	0.09863605350255966	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.078872449696064	0.06291142106056213	0.06036162376403809	0.1029818505048752	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801	0.08328051120042801
